cluster_id,original_households,sampled_households
1,300,300
2,144,144
4,13,13
6,126,126
8,4,4
9,5692,5692
10,264,264
11,187,187
13,54,54
14,19,19
15,19,19
16,5319,5319
17,92,92
18,1,1
19,95,95
20,19,19
21,35,35
24,1,1
25,31,31
26,332,332
27,37,37
28,477,477
29,519,519
30,84,84
32,1,1
33,140,140
36,487,487
37,3,3
38,142,142
39,214,214
40,1,1
41,71,71
42,118,118
43,71,71
45,329,329
46,424,424
47,2,2
48,328,328
50,27,27
51,283,283
53,36,36
54,796,796
56,402,402
57,7,7
61,37,37
62,1,1
63,1,1
66,4656,4656
69,1774,1774
70,87,87
71,240,240
72,12,12
74,1,1
76,35,35
81,1,1
83,1321,1321
84,599,599
85,28,28
86,100,100
88,1006,1006
90,107,107
91,5,5
92,1677,1677
93,584,584
94,174,174
95,1214,1214
98,900,900
99,2,2
101,546,546
103,3783,3783
104,493,493
105,468,468
106,156,156
109,417,417
110,147,147
111,222,222
114,693,693
119,134,134
121,1,1
126,192,192
127,25,25
128,190,190
131,5377,5377
132,349,349
134,99,99
137,23,23
138,95,95
139,152,152
140,97,97
141,45,45
143,18,18
144,157,157
149,1,1
152,89,89
153,2924,2924
155,1815,1815
157,30,30
159,103,103
160,197,197
161,8,8
162,402,402
163,434,434
164,230,230
165,596,596
167,371,371
169,2273,2273
170,175,175
172,178,178
174,651,651
175,662,662
176,549,549
177,2029,2029
178,3,3
179,977,977
180,613,613
182,431,431
183,1631,1631
184,941,941
185,51,51
187,1004,1004
189,172,172
190,1075,1075
191,212,212
192,2,2
195,129,129
196,224,224
197,292,292
198,1558,1558
199,834,834
200,1845,1845
203,793,793
204,1480,1480
205,239,239
206,132,132
207,356,356
208,415,415
209,168,168
210,642,642
211,411,411
212,297,297
213,1,1
214,380,380
218,801,801
219,283,283
220,654,654
221,1439,1439
223,443,443
224,540,540
225,277,277
226,183,183
227,894,894
228,789,789
229,3338,3338
230,199,199
231,985,985
233,68,68
234,404,404
235,759,759
236,462,462
237,13,13
238,644,644
239,396,396
240,1515,1515
241,1982,1982
242,395,395
243,283,283
244,1457,1457
245,921,921
246,433,433
247,1372,1372
248,3398,3398
249,448,448
250,55,55
251,1479,1479
252,873,873
253,621,621
254,1161,1161
255,1393,1393
256,206,206
257,259,259
258,1289,1289
259,441,441
262,1682,1682
263,267,267
264,904,904
265,3377,3377
266,1418,1418
267,2004,2004
268,535,535
269,4230,4230
270,1303,1303
272,732,732
273,686,686
274,2,2
275,969,969
276,28,28
277,642,642
278,26,26
279,743,743
280,1845,1845
281,317,317
282,1602,1602
283,24,24
284,1459,1459
285,690,690
286,1454,1454
287,791,791
288,647,647
289,494,494
290,636,636
291,2990,2990
292,815,815
293,419,419
294,619,619
295,1160,1160
296,3,3
297,1984,1984
298,916,916
299,953,953
300,1410,1410
301,411,411
302,818,818
303,1559,1559
304,414,414
305,1778,1778
306,122,122
307,627,627
308,700,700
309,236,236
310,620,620
311,550,550
312,87,87
313,4295,4295
314,21,21
315,137,137
316,880,880
317,932,932
318,232,232
320,779,779
321,97,97
322,671,671
323,1229,1229
324,771,771
325,1003,1003
326,355,355
327,564,564
328,1829,1829
329,189,189
330,610,610
331,2036,2036
332,561,561
333,153,153
334,3,3
335,474,474
336,1533,1533
337,847,847
338,191,191
339,344,344
340,982,982
341,500,500
342,1513,1513
343,2378,2378
344,1339,1339
346,49,49
347,890,890
348,2572,2572
349,1250,1250
351,1083,1083
353,1506,1506
354,103,103
355,1051,1051
357,1469,1469
358,267,267
359,397,397
360,991,991
361,139,139
362,2064,2064
363,965,965
364,253,253
365,490,490
366,610,610
367,1408,1408
368,2614,2614
369,426,426
370,298,298
371,12,12
372,651,651
373,2182,2182
375,2939,2939
376,1963,1963
377,1313,1313
378,987,987
379,2868,2868
380,850,850
381,1069,1069
382,2599,2599
383,921,921
384,1825,1825
385,1635,1635
386,66,66
387,1176,1176
388,1617,1617
389,185,185
390,961,961
391,895,895
392,52,52
393,1268,1268
394,1852,1852
395,393,393
397,2552,2552
398,301,301
399,2766,2766
400,525,525
401,2741,2741
402,1608,1608
403,511,511
404,795,795
405,2,2
406,1261,1261
407,142,142
408,2,2
409,1104,1104
410,1417,1417
411,11368,11368
412,2446,2446
413,3098,3098
414,29,29
415,1279,1279
416,201,201
417,969,969
418,1006,1006
419,331,331
420,3,3
421,80,80
422,443,443
423,2074,2074
424,1620,1620
425,579,579
427,1773,1773
428,1694,1694
429,564,564
430,1606,1606
431,2219,2219
432,7693,7693
434,370,370
435,519,519
436,420,420
437,2562,2562
438,1713,1713
439,630,630
440,1503,1503
441,1136,1136
442,2290,2290
443,1476,1476
444,1621,1621
445,5,5
446,1087,1087
447,641,641
448,776,776
449,1929,1929
450,1,1
451,1921,1921
452,2268,2268
453,1670,1670
454,93,93
455,905,905
457,1139,1139
458,1360,1360
459,1216,1216
460,991,991
461,962,962
462,1098,1098
463,586,586
464,2322,2322
465,81,81
466,2308,2308
467,2156,2156
468,1090,1090
469,292,292
472,31,31
473,2357,2357
474,1731,1731
475,285,285
476,446,446
477,3019,3019
478,1580,1580
479,1572,1572
480,296,296
481,386,386
482,388,388
483,1161,1161
484,500,500
485,510,510
486,744,744
487,332,332
488,115,115
489,343,343
490,764,764
491,2563,2563
492,1373,1373
493,1134,1134
494,1554,1554
495,1146,1146
496,676,676
497,1422,1422
498,890,890
499,2471,2471
500,1483,1483
501,320,320
502,1963,1963
503,1391,1391
504,999,999
505,535,535
506,2530,2530
507,1494,1494
510,3234,3234
511,133,133
512,181,181
513,443,443
514,2356,2356
515,208,208
516,150,150
517,6,6
518,1527,1527
519,2408,2408
520,2300,2300
521,474,474
522,919,919
523,6,6
524,3479,3479
525,2510,2510
526,674,674
527,1757,1757
528,476,476
529,145,145
530,1707,1707
531,278,278
533,1540,1540
534,2221,2221
535,69,69
536,1788,1788
537,121,121
538,1214,1214
539,222,222
540,530,530
542,2,2
543,5456,5456
544,1409,1409
545,251,251
546,899,899
547,413,413
548,2656,2656
549,4603,4603
551,327,327
552,497,497
555,1095,1095
556,1678,1678
557,2,2
558,4,4
560,4947,4947
561,283,283
562,1423,1423
563,329,329
564,234,234
565,1230,1230
566,475,475
567,1263,1263
568,718,718
569,46,46
570,1106,1106
571,3140,3140
573,1080,1080
574,1,1
575,249,249
576,3316,3316
577,6377,6377
578,258,258
579,655,655
580,3765,3765
581,2188,2188
582,2249,2249
583,2288,2288
584,243,243
585,815,815
586,216,216
587,2104,2104
588,29,29
589,18,18
590,629,629
591,30,30
592,2327,2327
593,2762,2762
595,2839,2839
596,1543,1543
597,4661,4661
598,1331,1331
599,999,999
600,2172,2172
601,608,608
602,2977,2977
603,17,17
604,1051,1051
605,1332,1332
606,938,938
607,272,272
608,2271,2271
609,1607,1607
610,973,973
611,2343,2343
612,3027,3027
613,3576,3576
614,5570,5570
615,459,459
616,3102,3102
617,1190,1190
619,2143,2143
620,442,442
621,534,534
622,4206,4206
623,156,156
624,1108,1108
626,192,192
627,219,219
628,689,689
629,1093,1093
630,692,692
631,1169,1169
632,2136,2136
633,4955,4955
634,2965,2965
635,295,295
636,463,463
637,24,24
638,1407,1407
639,124,124
640,2774,2774
641,1,1
642,1203,1203
643,2317,2317
644,1532,1532
645,1271,1271
646,554,554
647,1600,1600
648,572,572
649,3230,3230
650,2405,2405
651,3406,3406
652,2764,2764
654,5678,5678
655,151,151
656,578,578
657,3627,3627
658,1137,1137
659,75,75
660,1650,1650
661,1246,1246
662,3632,3632
663,712,712
664,2743,2743
665,3988,3988
666,187,187
667,1672,1672
668,3004,3004
669,3199,3199
670,3154,3154
671,2630,2630
672,1701,1701
673,657,657
674,2479,2479
675,428,428
676,802,802
677,8995,8995
678,1621,1621
679,268,268
680,1800,1800
681,1506,1506
682,258,258
683,226,226
684,3288,3288
685,3066,3066
686,2056,2056
687,1858,1858
688,2015,2015
689,851,851
690,4718,4718
691,6096,6096
692,347,347
693,201,201
694,529,529
695,307,307
696,4192,4192
697,1101,1101
698,526,526
699,3088,3088
700,1896,1896
701,2768,2768
702,1607,1607
703,2387,2387
705,4544,4544
706,4302,4302
707,1676,1676
708,2283,2283
709,2131,2131
710,1936,1936
711,940,940
712,319,319
713,1038,1038
715,531,531
716,2196,2196
717,1561,1561
718,5638,5638
719,1062,1062
720,2438,2438
721,1177,1177
722,190,190
723,977,977
724,4989,4989
725,223,223
726,3418,3418
727,687,687
728,964,964
729,1056,1056
730,2332,2332
731,1001,1001
732,9779,9779
733,2443,2443
735,251,251
736,3836,3836
737,3887,3887
738,1037,1037
739,160,160
740,950,950
741,3090,3090
742,1026,1026
743,4870,4870
744,2002,2002
745,3215,3215
746,112,112
747,373,373
748,1924,1924
749,3747,3747
750,2602,2602
751,4586,4586
752,1793,1793
753,29,29
754,805,805
755,311,311
756,139,139
757,154,154
758,999,999
759,3001,3001
760,2052,2052
761,965,965
762,1551,1551
763,4,4
764,1453,1453
765,5207,5207
766,1158,1158
768,1499,1499
770,1352,1352
771,929,929
772,1912,1912
773,475,475
774,3399,3399
775,171,171
776,2520,2520
778,5444,5444
779,607,607
780,827,827
781,1418,1418
782,2956,2956
783,2124,2124
784,1238,1238
785,3483,3483
786,1088,1088
787,3070,3070
788,2022,2022
792,2,2
793,3565,3565
794,174,174
795,2782,2782
796,1353,1353
797,1614,1614
798,1893,1893
799,5144,5144
800,1903,1903
802,1120,1120
803,2193,2193
804,643,643
805,676,676
806,3293,3293
807,236,236
808,996,996
809,1505,1505
810,859,859
811,1119,1119
812,608,608
813,3463,3463
814,764,764
815,514,514
816,293,293
817,944,944
818,47,47
819,919,919
820,806,806
821,2934,2934
822,9,9
823,2687,2687
824,2778,2778
825,922,922
826,2553,2553
827,899,899
828,1627,1627
830,220,220
831,255,255
832,3054,3054
833,2329,2329
834,460,460
835,1181,1181
836,1210,1210
838,1424,1424
839,4085,4085
840,1593,1593
841,526,526
842,343,343
843,2205,2205
844,363,363
845,392,392
846,2328,2328
847,2055,2055
848,44,44
849,1070,1070
850,2,2
851,932,932
852,2069,2069
853,2140,2140
854,2,2
855,3873,3873
856,1263,1263
857,306,306
858,2310,2310
859,1,1
860,429,429
861,1752,1752
862,452,452
863,2564,2564
864,533,533
866,1492,1492
867,218,218
868,1952,1952
869,2791,2791
870,561,561
871,1406,1406
872,2095,2095
873,5371,5371
874,1804,1804
875,448,448
876,1704,1704
877,8385,8385
878,3255,3255
879,1758,1758
880,4090,4090
881,2367,2367
882,951,951
883,1200,1200
884,2340,2340
886,2027,2027
887,2421,2421
888,3818,3818
889,1397,1397
890,1324,1324
891,1906,1906
892,1695,1695
893,1021,1021
894,1,1
895,957,957
896,1044,1044
897,154,154
898,50,50
899,2089,2089
901,3776,3776
902,236,236
903,2742,2742
904,433,433
905,3051,3051
906,633,633
907,1378,1378
908,4376,4376
909,743,743
910,5102,5102
911,47,47
912,1004,1004
914,1405,1405
915,2181,2181
916,1070,1070
917,1939,1939
918,2102,2102
919,669,669
920,963,963
921,1489,1489
922,2528,2528
923,5000,5000
924,2011,2011
925,10147,10147
926,4731,4731
927,2588,2588
929,527,527
930,1782,1782
931,1663,1663
932,1427,1427
933,2375,2375
934,1792,1792
935,331,331
936,642,642
937,164,164
938,867,867
939,1782,1782
940,1825,1825
941,1887,1887
942,728,728
943,66,66
944,137,137
945,3423,3423
946,664,664
947,117,117
948,1356,1356
949,4123,4123
950,4122,4122
951,2679,2679
952,2517,2517
953,5042,5042
954,1329,1329
955,1090,1090
956,6855,6855
957,7,7
958,2865,2865
959,178,178
960,5689,5689
961,4365,4365
962,759,759
963,1229,1229
964,1484,1484
965,40,40
966,4780,4780
967,4170,4170
968,1169,1169
969,598,598
970,3355,3355
971,1835,1835
972,3262,3262
973,2522,2522
974,5558,5558
975,1373,1373
976,2145,2145
978,2635,2635
979,2582,2582
980,1676,1676
981,2,2
982,3029,3029
983,4705,4705
984,1878,1878
985,2091,2091
986,1080,1080
987,863,863
988,4630,4630
989,3091,3091
990,2307,2307
991,3599,3599
992,9,9
993,2013,2013
994,226,226
996,1958,1958
997,1912,1912
998,2909,2909
999,2705,2705
1000,951,951
