mgra,sampled_households,sample_rate
1156,456,1.0
1157,1303,1.0
1158,2240,1.0
1159,506,1.0
1160,854,1.0
1161,297,1.0
1162,211,1.0
1163,83,1.0
1164,1582,1.0
1165,534,1.0
1166,2997,1.0
1167,768,1.0
1168,1,1.0
1169,129,1.0
1170,380,1.0
1171,779,1.0
1172,8,1.0
1173,391,1.0
1174,1398,1.0
1175,1330,1.0
1176,2343,1.0
1177,458,1.0
1178,571,1.0
1179,1492,1.0
1181,425,1.0
1182,78,1.0
1183,1044,1.0
1184,41,1.0
1185,375,1.0
1186,1169,1.0
1188,608,1.0
1189,789,1.0
1190,281,1.0
1191,282,1.0
1192,593,1.0
1194,236,1.0
1195,675,1.0
1196,645,1.0
1198,1440,1.0
1199,376,1.0
1200,1,1.0
1201,1397,1.0
1202,5,1.0
1203,1151,1.0
1204,235,1.0
1205,208,1.0
1206,1855,1.0
1208,580,1.0
1209,401,1.0
1210,804,1.0
1211,407,1.0
1212,801,1.0
1213,513,1.0
1214,542,1.0
1215,717,1.0
1216,1079,1.0
1217,863,1.0
1218,1581,1.0
1219,611,1.0
1220,221,1.0
1221,294,1.0
1222,409,1.0
1223,283,1.0
1224,654,1.0
1225,3,1.0
1226,342,1.0
1227,1342,1.0
1228,446,1.0
1229,671,1.0
1230,834,1.0
1231,2823,1.0
1232,1612,1.0
1233,661,1.0
1234,1439,1.0
1236,475,1.0
1237,443,1.0
1238,540,1.0
1239,832,1.0
1240,277,1.0
1241,1273,1.0
1242,1307,1.0
1243,147,1.0
1244,507,1.0
1245,309,1.0
1246,7,1.0
1247,2348,1.0
1248,358,1.0
1249,183,1.0
1250,1307,1.0
1251,824,1.0
1252,257,1.0
1253,451,1.0
1254,49,1.0
1256,1560,1.0
1257,1003,1.0
1259,1797,1.0
1260,1560,1.0
1261,578,1.0
1262,894,1.0
1263,384,1.0
1264,262,1.0
1265,739,1.0
1266,586,1.0
1267,334,1.0
1268,485,1.0
1269,789,1.0
1270,1289,1.0
1271,504,1.0
1272,302,1.0
1273,293,1.0
1274,862,1.0
1275,1181,1.0
1276,2360,1.0
1277,1441,1.0
1278,3151,1.0
1279,609,1.0
1280,601,1.0
1281,2480,1.0
1282,346,1.0
1283,604,1.0
1284,1609,1.0
1285,200,1.0
1286,803,1.0
1287,1166,1.0
1288,1062,1.0
1289,3338,1.0
1290,59,1.0
1291,199,1.0
1292,471,1.0
1293,985,1.0
1295,1389,1.0
1296,516,1.0
1297,2,1.0
1298,178,1.0
1299,712,1.0
1302,825,1.0
1303,599,1.0
1304,812,1.0
1305,1093,1.0
1306,508,1.0
1307,1158,1.0
1308,1282,1.0
1309,944,1.0
1310,193,1.0
1311,31,1.0
1312,1441,1.0
1313,68,1.0
1315,866,1.0
1316,1482,1.0
1317,467,1.0
1318,1017,1.0
1319,706,1.0
1320,809,1.0
1321,2055,1.0
1322,404,1.0
1323,759,1.0
1324,951,1.0
1325,759,1.0
1326,252,1.0
1327,462,1.0
1328,296,1.0
1329,1323,1.0
1330,887,1.0
1331,1805,1.0
1332,1,1.0
1333,2158,1.0
1334,1035,1.0
1335,944,1.0
1336,22,1.0
1337,444,1.0
1338,789,1.0
1339,272,1.0
1340,1350,1.0
1341,456,1.0
1342,888,1.0
1343,1154,1.0
1344,572,1.0
1345,114,1.0
1346,1051,1.0
1347,477,1.0
1348,1685,1.0
1349,13,1.0
1350,1233,1.0
1351,1132,1.0
1352,169,1.0
1353,411,1.0
1354,644,1.0
1355,29,1.0
1356,1447,1.0
1357,2482,1.0
1358,1043,1.0
1359,1309,1.0
1360,872,1.0
1361,652,1.0
1362,396,1.0
1363,1219,1.0
1364,1824,1.0
1365,622,1.0
1366,46,1.0
1367,564,1.0
1368,1779,1.0
1369,1515,1.0
1370,1062,1.0
1371,1290,1.0
1372,619,1.0
1373,977,1.0
1374,2154,1.0
1375,2,1.0
1376,1982,1.0
1377,4,1.0
1378,1577,1.0
1379,528,1.0
1380,1048,1.0
1381,1341,1.0
1382,1463,1.0
1384,573,1.0
1385,399,1.0
1386,395,1.0
1387,1559,1.0
1388,1205,1.0
1389,855,1.0
1390,484,1.0
1391,376,1.0
1392,620,1.0
1393,227,1.0
1394,531,1.0
1395,283,1.0
1396,1703,1.0
1397,468,1.0
1398,1602,1.0
1399,1069,1.0
1400,2788,1.0
1401,3060,1.0
1402,539,1.0
1403,423,1.0
1404,797,1.0
1405,865,1.0
1406,908,1.0
1407,3145,1.0
1408,212,1.0
1409,129,1.0
1410,1531,1.0
1411,1,1.0
1412,1324,1.0
1413,806,1.0
1414,327,1.0
1415,2393,1.0
1416,1457,1.0
1417,921,1.0
1418,761,1.0
1419,340,1.0
1420,201,1.0
1421,773,1.0
1422,566,1.0
1423,1388,1.0
1424,1,1.0
1425,669,1.0
1426,1364,1.0
1427,622,1.0
1428,433,1.0
1429,873,1.0
1430,261,1.0
1431,1127,1.0
1432,851,1.0
1433,1372,1.0
1434,3398,1.0
1435,2388,1.0
1436,448,1.0
1437,1610,1.0
1438,55,1.0
1439,309,1.0
1440,907,1.0
1441,1772,1.0
1442,1647,1.0
1443,1313,1.0
1444,362,1.0
1445,1170,1.0
1446,1479,1.0
1447,873,1.0
1448,621,1.0
1449,1800,1.0
1450,1161,1.0
1451,487,1.0
1452,101,1.0
1453,173,1.0
1454,239,1.0
1455,228,1.0
1456,612,1.0
1457,1976,1.0
1458,1062,1.0
1459,1143,1.0
1460,734,1.0
1461,1393,1.0
1462,201,1.0
1463,1,1.0
1464,1349,1.0
1465,2132,1.0
1466,310,1.0
1467,233,1.0
1468,2147,1.0
1469,15,1.0
1470,246,1.0
1471,562,1.0
1472,174,1.0
1473,251,1.0
1474,358,1.0
1475,930,1.0
1476,106,1.0
1477,2189,1.0
1479,363,1.0
1480,36,1.0
1481,206,1.0
1482,682,1.0
1483,259,1.0
1484,1632,1.0
1485,1289,1.0
1486,441,1.0
1487,599,1.0
1491,1565,1.0
1492,60,1.0
1493,1682,1.0
1494,1038,1.0
1495,360,1.0
1496,878,1.0
1497,293,1.0
1498,1166,1.0
1499,1101,1.0
1500,827,1.0
1501,611,1.0
1502,571,1.0
1503,2,1.0
1504,353,1.0
1505,267,1.0
1506,904,1.0
1507,1381,1.0
1508,3377,1.0
1509,1226,1.0
1510,922,1.0
1511,381,1.0
1512,218,1.0
1513,1418,1.0
1514,1340,1.0
1515,54,1.0
1516,207,1.0
1517,497,1.0
1518,1007,1.0
1519,265,1.0
1520,1096,1.0
1521,4696,1.0
1523,312,1.0
1524,1076,1.0
1525,1046,1.0
1526,361,1.0
1527,652,1.0
1528,2004,1.0
1530,1601,1.0
1531,535,1.0
1532,566,1.0
1533,1,1.0
1534,4230,1.0
1535,2122,1.0
1536,434,1.0
1537,721,1.0
1538,7,1.0
1539,790,1.0
1540,1043,1.0
1541,1830,1.0
1542,2951,1.0
1543,1102,1.0
1544,3485,1.0
1545,2033,1.0
1546,1201,1.0
1547,1020,1.0
1548,1303,1.0
1549,585,1.0
1550,1051,1.0
1551,721,1.0
1553,732,1.0
1554,3962,1.0
1555,2407,1.0
1556,2,1.0
1557,938,1.0
1558,467,1.0
1560,291,1.0
1561,1105,1.0
1562,601,1.0
1563,189,1.0
1564,341,1.0
1565,2356,1.0
1567,531,1.0
1568,1381,1.0
1569,498,1.0
1570,2348,1.0
1571,603,1.0
1573,1392,1.0
1574,1007,1.0
1576,559,1.0
1579,229,1.0
1580,1269,1.0
1581,3193,1.0
1582,1313,1.0
1583,2195,1.0
1584,419,1.0
1585,2002,1.0
1586,686,1.0
1587,2,1.0
1588,1213,1.0
1589,1331,1.0
1591,1362,1.0
1592,1,1.0
1593,171,1.0
1594,163,1.0
1595,1155,1.0
1596,969,1.0
1597,28,1.0
1598,642,1.0
1599,1664,1.0
1600,66,1.0
1601,775,1.0
1602,47,1.0
1603,447,1.0
1604,320,1.0
1605,852,1.0
1606,26,1.0
1607,1121,1.0
1608,743,1.0
1609,1049,1.0
1610,2592,1.0
1611,654,1.0
1612,1845,1.0
1613,1405,1.0
1614,699,1.0
1615,15,1.0
1616,1164,1.0
1617,317,1.0
1618,1620,1.0
1619,743,1.0
1620,1173,1.0
1621,218,1.0
1622,1486,1.0
1623,515,1.0
1624,976,1.0
1625,708,1.0
1626,1288,1.0
1627,1602,1.0
1628,2309,1.0
1629,649,1.0
1630,111,1.0
1631,551,1.0
1632,897,1.0
1633,2633,1.0
1634,940,1.0
1635,825,1.0
1636,24,1.0
1637,1459,1.0
1638,534,1.0
1639,1133,1.0
1640,826,1.0
1641,683,1.0
1642,2285,1.0
1643,1043,1.0
1644,328,1.0
1645,1703,1.0
1646,1551,1.0
1647,1499,1.0
1648,690,1.0
1649,2464,1.0
1650,2099,1.0
1651,781,1.0
1652,1454,1.0
1653,464,1.0
1654,540,1.0
1655,791,1.0
1656,386,1.0
1657,647,1.0
1658,1878,1.0
1659,2312,1.0
1660,494,1.0
1661,636,1.0
1662,331,1.0
1663,1327,1.0
1664,1476,1.0
1665,2990,1.0
1666,1311,1.0
1667,1054,1.0
1668,815,1.0
1670,419,1.0
1671,619,1.0
1672,2404,1.0
1674,1309,1.0
1675,1160,1.0
1676,566,1.0
1677,3,1.0
1678,1984,1.0
1679,173,1.0
1680,45,1.0
1681,728,1.0
1682,813,1.0
1683,338,1.0
1684,916,1.0
1685,220,1.0
1686,1368,1.0
1687,953,1.0
1688,1410,1.0
1689,523,1.0
1690,254,1.0
1693,1412,1.0
1694,279,1.0
1696,1243,1.0
1697,471,1.0
1698,337,1.0
1700,2581,1.0
1701,1014,1.0
1702,967,1.0
1703,358,1.0
1704,411,1.0
1705,647,1.0
1706,818,1.0
1707,1254,1.0
1708,1559,1.0
1709,414,1.0
1710,1778,1.0
1711,463,1.0
1712,451,1.0
1713,1529,1.0
1714,116,1.0
1715,856,1.0
1716,122,1.0
1717,1305,1.0
1718,191,1.0
1719,346,1.0
1720,1666,1.0
1721,627,1.0
1722,90,1.0
1723,1987,1.0
1724,700,1.0
1725,236,1.0
1726,620,1.0
1727,1839,1.0
1728,9,1.0
1729,1838,1.0
1730,657,1.0
1731,864,1.0
1732,296,1.0
1733,1177,1.0
1734,550,1.0
1735,2260,1.0
1736,87,1.0
1737,4295,1.0
1738,21,1.0
1739,694,1.0
1740,436,1.0
1741,1266,1.0
1742,3071,1.0
1743,322,1.0
1744,137,1.0
1745,2096,1.0
1746,510,1.0
1747,1157,1.0
1748,1887,1.0
1750,767,1.0
1751,1658,1.0
1752,1494,1.0
1753,669,1.0
1754,1041,1.0
1755,880,1.0
1756,932,1.0
1757,1495,1.0
1759,271,1.0
1760,232,1.0
1761,1727,1.0
1762,722,1.0
1763,1818,1.0
1764,844,1.0
1766,997,1.0
1767,1164,1.0
1768,779,1.0
1769,1307,1.0
1770,97,1.0
1771,671,1.0
1773,1229,1.0
1774,1672,1.0
1776,844,1.0
1777,477,1.0
1778,3172,1.0
1779,771,1.0
1780,1003,1.0
1781,2589,1.0
1782,62,1.0
1783,1,1.0
1784,355,1.0
1785,564,1.0
1786,770,1.0
1787,1247,1.0
1788,452,1.0
1789,1829,1.0
1790,189,1.0
1791,1039,1.0
1792,610,1.0
1793,754,1.0
1794,246,1.0
1795,363,1.0
1796,2036,1.0
1797,576,1.0
1798,826,1.0
1799,154,1.0
1800,375,1.0
1801,1283,1.0
1802,263,1.0
1803,1989,1.0
1805,754,1.0
1806,1571,1.0
1807,951,1.0
1808,561,1.0
1809,940,1.0
1810,1548,1.0
1811,1240,1.0
1812,979,1.0
1813,475,1.0
1815,2,1.0
1816,1696,1.0
1817,773,1.0
1818,153,1.0
1819,749,1.0
1820,2816,1.0
1821,4299,1.0
1822,852,1.0
1823,2211,1.0
1825,589,1.0
1826,429,1.0
1827,3,1.0
1828,474,1.0
1829,1673,1.0
1830,1533,1.0
1831,847,1.0
1832,191,1.0
1833,621,1.0
1834,1705,1.0
1835,1331,1.0
1836,344,1.0
1838,488,1.0
1839,1481,1.0
1840,982,1.0
1841,500,1.0
1842,35,1.0
1843,958,1.0
1844,75,1.0
1845,1670,1.0
1846,15,1.0
1847,40,1.0
1848,1513,1.0
1849,1276,1.0
1850,2378,1.0
1851,1029,1.0
1852,1339,1.0
1853,686,1.0
1854,470,1.0
1855,368,1.0
1856,154,1.0
1858,1,1.0
1860,49,1.0
1861,26,1.0
1862,890,1.0
1863,2572,1.0
1864,1130,1.0
1865,632,1.0
1866,1388,1.0
1867,2069,1.0
1868,1250,1.0
1870,5130,1.0
1871,1083,1.0
1873,1127,1.0
1874,1003,1.0
1875,691,1.0
1876,1435,1.0
1877,976,1.0
1879,1037,1.0
1880,1506,1.0
1881,103,1.0
1882,1994,1.0
1883,1051,1.0
1884,1954,1.0
1885,689,1.0
1886,2212,1.0
1888,460,1.0
1889,1469,1.0
1890,267,1.0
1891,688,1.0
1892,397,1.0
1893,1155,1.0
1894,991,1.0
1895,2,1.0
1896,989,1.0
1897,139,1.0
1898,1021,1.0
1899,1490,1.0
1900,841,1.0
1902,2064,1.0
1903,490,1.0
1904,965,1.0
1905,668,1.0
1906,3151,1.0
1907,2906,1.0
1908,253,1.0
1909,2508,1.0
1910,490,1.0
1911,610,1.0
1912,608,1.0
1913,894,1.0
1914,169,1.0
1915,1164,1.0
1916,1408,1.0
1917,2169,1.0
1918,2614,1.0
1919,2131,1.0
1920,799,1.0
1921,426,1.0
1922,1190,1.0
1924,3008,1.0
1925,2804,1.0
1926,298,1.0
1927,1015,1.0
1928,176,1.0
1929,288,1.0
1930,851,1.0
1931,12,1.0
1932,1716,1.0
1933,651,1.0
1934,745,1.0
1935,2270,1.0
1936,2182,1.0
1937,5,1.0
1938,1287,1.0
1939,581,1.0
1940,331,1.0
1941,1197,1.0
1942,151,1.0
1943,546,1.0
1944,458,1.0
1946,2939,1.0
1947,2755,1.0
1948,1978,1.0
1949,1963,1.0
1950,2727,1.0
1951,1313,1.0
1952,709,1.0
1953,1711,1.0
1954,453,1.0
1955,987,1.0
1956,1448,1.0
1957,2868,1.0
1958,800,1.0
1959,208,1.0
1960,850,1.0
1961,1986,1.0
1962,1069,1.0
1963,2599,1.0
1964,4136,1.0
1965,4,1.0
1967,2561,1.0
1968,921,1.0
1969,1709,1.0
1970,1825,1.0
1971,2098,1.0
1972,1635,1.0
1973,901,1.0
1974,66,1.0
1975,1176,1.0
1976,189,1.0
1977,527,1.0
1978,1617,1.0
1979,395,1.0
1980,757,1.0
1981,16,1.0
1982,150,1.0
1983,13,1.0
1984,185,1.0
1985,961,1.0
1986,2082,1.0
1987,895,1.0
1988,1660,1.0
1989,71,1.0
1990,2506,1.0
1991,3055,1.0
1992,52,1.0
1993,686,1.0
1994,301,1.0
1995,1009,1.0
1996,1268,1.0
1998,2978,1.0
1999,2080,1.0
2000,1021,1.0
